Chủ đề	câu 1	câu 2	điểm
Hình học	thật kinh_ngạc 42 khối_vuông hình sắc_cạnh không hơn kém nhau gam	thật tuyệt_vời các khối hình_đều giống_nhau giống_nhau một_cách đáng kinh_ngạc	3
Tin Tức	ông nguyễn_bá thụ cục_trưởng cục kiểm_lâm vn thừa_nhận tình_trạng vận_chuyển buôn_bán hổ và xương hổ trái_phép vẫn đang diễn_ra tại vn và đặc_biệt sôi_động hà_nội	ông thụ cục_trưởng cục kiểm_lâm vn thừa_nhận tình_trạng vận_chuyển buôn_bán hổ và xương hổ trái_phép vẫn đang diễn_ra tại vn và đặc_biệt sôi_động hà_nội	4
Đời Sống	đá bụi không_khí ngột_ngạt nước tuôn xuống và tối_tăm khiến chúng_tôi lẫn những người thợ lặng người	đá bụi không_khí ngột_ngạt nước tuôn xuống và tối_tăm khiến chúng_tôi lẫn những người_thợ lặng_người nhưng không_ngại những khó_khăn đó những người thợn lặn vẫn cần_mẫn làm_việc hàng ngày	2
Tin Tức	trước khi vào hầm kỹ_sư đàm khắc_lĩnh tự_tay phát cho mỗi người một chiếc áo phản_quang một_đôi ủng cùng chiếc mũ bảo_hộ làm_bằng nhựa cứng khá nặng	trước khi vào hầm những con_thỏ đều sẽ cảnh_giác nhìn xung_quanh để xem có những con thú_săn mồi nào rình_rập gần đó không	0
Tin Tức	còn với những người_thợ khoan hầm sông_đà sự_kiện như thế đã từng diễn_ra và giờ_đây trước_mắt họ lại có những công_trình mới đang vẫy_gọi	còn với những người_thợ khoan hầm sông_đà sự_kiện như thế đã xảy_ra rất nhiều là và không còn xa_lạ với họ nữa	2
Đời Sống	sáng nay phóng xe_máy từ cam_ly vào dankia bất_chợt tôi bàng_hoàng một con_đường sang_trọng vút dài bóng mượt giữa một rìa phía_tây trải xuống cánh_cung đông bắc còn gần_như nguyên_sơ của thành_phố cao_nguyên đã hình_thành	một con_đường sang_trọng vút dài bóng mượt giữa một rìa phía_tây trải xuống cánh_cung đông bắc còn gần_như nguyên_sơ của thành_phố cao_nguyên đã hình_thành	3
Đời Sống	điểm_cuối của con_đường là vùng sơn thủy gần_như trinh nguyên mà ta có_thể_nhìn_thấy nó từ đỉnh_cao hơn 1900 của dãy lang_bian	điểm đến của chúng_ta gần_như là những con_đường khó_khăn nhất nhưng nếu chúng_ta cố_gắng thì mọi chuyện đều có_thể hoàn_thành	0
Tin Tức	toàn_bộ khu_vực này bao_gồm hồ suối vàng và hàng nghìn hecta rừng thông đặc_dụng phòng_hộ xung_quanh đã được chính_phủ cho_phép xây_dựng quần_thể du_lịch cao_cấp lớn_nhất vn với tổng vốn_đầu_tư hơn 700 triệu usd.	với kiểu đón_đầu dự_án nhiều năm qua đã có_rất_nhiều người_đến đây lấn_chiếm đất rừng trái_phép mua_bán sang_nhượng đất lâm_nghiệp với mục_đích đầu_cơ đất với diện_tích lên_đến hàng trăm hecta trong đó có không ít người là cán_bộ các cấp của địa_phương	0
Tin Tức	một thành_viên đoàn thanh_tra cho_biết chậm nhất đến ngày 26 10 2003 sẽ có_kết_quả chính_thức của cuộc thanh_tra để tỉnh có biện_pháp xử_lý kiên_quyết những trường_hợp vi_phạm	một thành_viên đoàn thanh_tra cho_biết kết_quả chính_thức của cuộc thanh_tra để tỉnh có biện_pháp xử_lý kiên_quyết những trường_hợp vi_phạm	2
Địa Lý	hàng chục trang_trại nằm rải_rác đây_đó trong khu_vực được_gọi_tên là suối cạn thuộc ban quản_lý rừng_phòng_hộ sêrêpôk và nhiều lâm_phận không tên khác	hà_chục trang_trại nằm liền_kề nhau trong khu_vực được_gọi_tên là suối cạn	3
Tin Tức	mới_đây tổng_cục_trưởng tổng_cục du_lịch võ_thị_thắng vào đến tận đây rồi người_ta thấy bà lắc_đầu ngao_ngán	gần_đây tổng_cục_trưởng tổng_cục du_lịch võ_thị_thắng có đến_thăm và được sự_chào_đón nhiệt_tình của người dân	1
